division_raw,home,h_goals,a_goals,away,referee,location,tournament,played,reason,date_sort,date,group
11.6 Boys Sat,Belmont FC,2,2,Rathcoole FC,-,Herbert Park,League,Y,,20260117,17-Jan-26,Sat
11.7 Boys Sat,Belmont FC,6,2,Dalkey United FC,-,Herbert Park,League,Y,,20260117,17-Jan-26,Sat
11.9 Boys Sat,Hartstown / Huntstown FC,1,3,Belmont FC,None,Hartstown Park,League,Y,,20260117,17-Jan-26,Sat
12.6 Boys Sat,Montpelier FC,2,1,Belmont FC,-,Grangegorman,League,Y,,20260117,17-Jan-26,Sat
12.8 Boys Sat,Templeogue United FC,2,4,Belmont FC,Phil Meehan,Templeogue United,League,Y,,20260117,17-Jan-26,Sat
13.2 Boys Sat,Belmont FC,,,St Mochtas FC,Amine Malek,Herbert Park,League,N,Weather,20260117,17-Jan-26,Sat
13.7 Boys Sat,Belmont FC,,,Wayside Celtic FC,Amine Malek,Herbert Park,League,N,Oppostion,20260117,17-Jan-26,Sat
10.10 Boys Sat,Belmont FC,5,4,Mount Merrion Youths FC,-,Herbert Park,League,Y,,20260124,24-Jan-26,Sat
10.4 Boys Sat,Belmont FC,3,4,St Joseph's AFC,-,Herbert Park,League,Y,,20260124,24-Jan-26,Sat
10.6 Boys Sat,Belmont FC,2,6,Rathcoole FC,-,Herbert Park,League,Y,,20260124,24-Jan-26,Sat
11.6 Boys Sat,Dunboyne FC,,,Belmont FC,-,Dunboyne,League,N,Weather,20260124,24-Jan-26,Sat
11.6/7 Boys Saturday Subsidary Cup,Firhouse Carmel FC,,,Belmont FC,Arturs Giriks,Firhouse CC,Cup,Y,,20260124,24-Jan-26,Sat
11.8/9 Boys Saturday Michael Griffin Cup (D8&D9),Finglas Celtic FC,4,5,Belmont FC,Ciaran Hempenstall,Kilshane road,Cup,Y,,20260124,24-Jan-26,Sat
12.3/4 Boys Saturday Paddy Farry Cup (D3&D4),Belmont FC,,,Sporting Greystones FC,Flann Brien,Herbert Park,Cup,N,Oppostion,20260124,24-Jan-26,Sat
12.5/6 Boys Saturday Maurice Price Cup (D5&D6),Belmont FC,,,Transport Iveagh Trust FC,Flann Brien,Herbert Park,Cup,N,Weather,20260124,24-Jan-26,Sat
12.7/8 Boys Saturday Lee McEvoy Cup (D7&D8),Celbridge Town AFC,3,1,Belmont FC,Conor Coyle,St Pats Park,Cup,Y,,20260124,24-Jan-26,Sat
13.2 Boys Sat,Rathcoole FC,0,1,Belmont FC,Kyle Cranston,Frank Cox Park,League,Y,,20260124,24-Jan-26,Sat
